,price,lessons,rating,popular,newly_joined,has_diploma,approved_matirials,reviews,students_count,English,Spanish,Arabic,Italian,Russian,Turkish,Portuguese,German,Danish,Hebrew,French,teaches_count,last_booked,response_time,is_expensive
2482,62,44,0.0,0,1,1,0,0,4,7,0,0,0,0,0,0,0,0,0,0,1,0,1.0,0
2483,16,39,0.0,0,1,0,0,0,4,7,0,0,0,0,0,0,0,0,0,0,1,1,1.0,0
2484,78,202,5.0,0,0,0,1,4,4,7,0,0,0,0,7,0,0,0,0,0,1,0,1.0,0
2485,62,1,0.0,0,1,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0,1,0,1.0,0
2486,16,74,0.0,0,1,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,1,0,1.0,0
2487,22,15,5.0,0,0,0,0,1,1,6,0,0,0,0,0,0,0,0,0,0,1,0,1.0,0
2488,37,124,5.0,0,0,1,0,1,1,6,1,0,0,7,0,0,5,0,0,0,1,0,1.0,0
2489,50,362,3.7,0,0,0,0,6,29,7,0,0,0,0,0,0,0,0,0,0,1,0,1.0,0
2490,78,897,4.9,0,0,1,0,28,4,5,0,0,0,0,0,0,0,0,0,0,3,0,1.0,0
2491,16,71,5.0,1,0,0,0,6,15,5,7,0,0,0,0,0,0,0,0,0,1,5,1.0,0
2492,109,1003,4.9,0,0,1,0,16,9,6,0,0,0,7,0,0,6,0,0,0,2,8,19.0,1
2493,31,59,5.0,0,0,0,0,3,5,7,0,0,0,2,0,0,0,0,0,0,1,0,1.0,0
2494,12,203,4.3,0,0,0,0,9,11,7,0,0,0,0,0,0,0,0,0,0,1,5,24.0,0
2495,31,35,0.0,0,1,1,0,0,2,6,1,0,0,0,7,0,0,0,0,0,1,0,1.0,0
2496,93,0,0.0,0,1,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,1,0,1.0,0
2497,19,37,0.0,0,1,0,0,0,7,7,7,0,0,0,0,0,0,0,0,0,1,0,1.0,0
2498,44,103,5.0,0,0,0,0,1,6,7,5,0,0,0,0,0,0,0,0,0,1,0,1.0,0
2499,31,286,4.3,0,0,0,0,15,7,6,0,0,0,0,0,0,0,0,0,0,1,0,1.0,0
2500,28,14,0.0,0,1,1,0,0,2,7,0,0,0,0,0,0,0,0,0,0,1,0,1.0,0
2501,30,16,5.0,0,0,0,0,1,1,5,7,0,0,0,0,0,0,0,0,0,1,0,1.0,0
2502,22,31,5.0,0,0,0,0,1,1,7,0,0,0,0,0,0,0,0,0,0,1,0,1.0,0
2503,50,661,5.0,0,0,0,0,11,5,7,7,0,0,0,0,3,0,0,0,0,1,0,1.0,0
